angle_rad, radius_px
1.282407938672396108e+00,4.933167158686785001e+02
1.285475900248167269e+00,4.935384639943512184e+02
1.288543861823938652e+00,4.944825580353051464e+02
1.291611823399709813e+00,4.932036653561458479e+02
1.294679784975481196e+00,4.932364625495801533e+02
1.297747746551252357e+00,4.933844148479960836e+02
1.300815708127023740e+00,4.919264843126924802e+02
1.303883669702794901e+00,4.911186924443603630e+02
1.306951631278566284e+00,4.900660600273441219e+02
1.310019592854337667e+00,4.887284502287219539e+02
1.313087554430108828e+00,4.871951137073317000e+02
1.316155516005880211e+00,4.834139323832039281e+02
1.319223477581651371e+00,4.786426425764198598e+02
1.322291439157422754e+00,4.759756616203930548e+02
1.325359400733193915e+00,4.729335844660652128e+02
1.328427362308965298e+00,4.688253475665648011e+02
1.331495323884736459e+00,4.649255564880202201e+02
1.334563285460507842e+00,4.627337543561459938e+02
1.337631247036279003e+00,4.583843835682006898e+02
1.340699208612050386e+00,4.538863039517989364e+02
1.343767170187821769e+00,4.488699484126221364e+02
1.346835131763592930e+00,4.449197189370747196e+02
1.349903093339364313e+00,4.395966964795740068e+02
1.352971054915135474e+00,4.378525762344989403e+02
1.356039016490906857e+00,4.351345100450973291e+02
1.359106978066678018e+00,4.337895483604810920e+02
1.362174939642449401e+00,4.320442384858493483e+02
1.365242901218220561e+00,4.311833075721384603e+02
1.368310862793991944e+00,4.298907098038052368e+02
1.371378824369763105e+00,4.296249565378834632e+02
1.374446785945534488e+00,4.293592032719616327e+02
1.377514747521305871e+00,4.295164974082333060e+02
1.380582709097077032e+00,4.298600526088314950e+02
1.383650670672848415e+00,4.296072941308380564e+02
1.386718632248619576e+00,4.304977090664256707e+02
1.389786593824390959e+00,4.311502074849098562e+02
1.392854555400162120e+00,4.314673771214023077e+02
1.395922516975933503e+00,4.323977571944571423e+02
1.398990478551704664e+00,4.333281372675119201e+02
1.402058440127476047e+00,4.342585173405667547e+02
1.405126401703247208e+00,4.369445356008519639e+02
1.408194363279018591e+00,4.396464750893550786e+02
1.411262324854789973e+00,4.441093578713346233e+02
1.414330286430561134e+00,4.486734835861566353e+02
1.417398248006332517e+00,4.513539358473058769e+02
1.420466209582103678e+00,4.567646188498897004e+02
1.423534171157875061e+00,4.622030468853368461e+02
1.426602132733646222e+00,4.656697918874406241e+02
1.429670094309417605e+00,4.686121838390589573e+02
1.432738055885188766e+00,4.724911321799515918e+02
1.435806017460960149e+00,4.753687171278712640e+02
1.438873979036731310e+00,4.782831574685383202e+02
1.441941940612502693e+00,4.818242114672221419e+02
1.445009902188274076e+00,4.841105745641223166e+02
1.448077863764045237e+00,4.861645928858314392e+02
1.451145825339816620e+00,4.882327668684052355e+02
1.454213786915587781e+00,4.910415782330456409e+02
1.457281748491359163e+00,4.936261489020628801e+02
1.460349710067130324e+00,4.961295859194473792e+02
1.463417671642901707e+00,4.959647574405835826e+02
1.466485633218672868e+00,4.960651926294978580e+02
1.469553594794444251e+00,4.966574042185433200e+02
1.472621556370215412e+00,4.965190471375591414e+02
1.475689517945986795e+00,4.963806900565749061e+02
1.478757479521758178e+00,4.962423329755906707e+02
1.481825441097529339e+00,4.961039758946064353e+02
1.484893402673300722e+00,4.959656188136222568e+02
1.487961364249071883e+00,4.958272617326380214e+02
1.491029325824843266e+00,4.956889046516537860e+02
1.494097287400614427e+00,4.945253676715609572e+02
1.497165248976385810e+00,4.915270197387714575e+02
1.500233210552156971e+00,4.888781084682949540e+02
1.503301172127928353e+00,4.870142225839985031e+02
1.506369133703699736e+00,4.825781836407032870e+02
1.509437095279470897e+00,4.788020323821356214e+02
1.512505056855242280e+00,4.752351096452876504e+02
1.515573018431013441e+00,4.710914238784333179e+02
1.518640980006784824e+00,4.682368849599132545e+02
1.521708941582555985e+00,4.653496627382205588e+02
1.524776903158327368e+00,4.594975293524629478e+02
1.527844864734098529e+00,4.562406066069866029e+02
1.530912826309869912e+00,4.518869978340766238e+02
1.533980787885641073e+00,4.483706475675689944e+02
1.537048749461412456e+00,4.419967786322271763e+02
1.540116711037183839e+00,4.394529327351494885e+02
1.543184672612955000e+00,4.365530556340880821e+02
1.546252634188726383e+00,4.357953427917153704e+02
1.549320595764497543e+00,4.341245072686371600e+02
1.552388557340268926e+00,4.324536717455588928e+02
1.555456518916040087e+00,4.311576760609086705e+02
1.558524480491811470e+00,4.311410667598914870e+02
1.561592442067582631e+00,4.311244574588742466e+02
1.564660403643354014e+00,4.301152950763175795e+02
1.567728365219125175e+00,4.301124928819365323e+02
1.570796326794896558e+00,4.301096906875554851e+02
1.573864288370667941e+00,4.303423055967818414e+02
1.576932249946439102e+00,4.311157079592853165e+02
1.580000211522210485e+00,4.311267119468108717e+02
1.583068173097981646e+00,4.314215718815860328e+02
1.586136134673753029e+00,4.332722344933329168e+02
1.589204096249524190e+00,4.351228971050796304e+02
1.592272057825295573e+00,4.369735597168265144e+02
1.595340019401066733e+00,4.388242223285732848e+02
1.598407980976838116e+00,4.406757244649838867e+02
1.601475942552609277e+00,4.466332319554425681e+02
1.604543904128380660e+00,4.508714757968068625e+02
1.607611865704152043e+00,4.554504519946506775e+02
1.610679827279923204e+00,4.584414273116608456e+02
1.613747788855694587e+00,4.638610331101257884e+02
1.616815750431465748e+00,4.672391477441982488e+02
1.619883712007237131e+00,4.707223231350698143e+02
1.622951673583008292e+00,4.732174087304637169e+02
1.626019635158779675e+00,4.764723168668578523e+02
1.629087596734550836e+00,4.796419242889508041e+02
1.632155558310322219e+00,4.819531931887677274e+02
1.635223519886093380e+00,4.843000499497940154e+02
1.638291481461864763e+00,4.878515423473863279e+02
1.641359443037636145e+00,4.898922032753920348e+02
1.644427404613407306e+00,4.930287220665157975e+02
1.647495366189178689e+00,4.951169736774943431e+02
1.650563327764949850e+00,4.956958740435393338e+02
1.653631289340721233e+00,4.958301125532593119e+02
1.656699250916492394e+00,4.959643510629792900e+02
1.659767212492263777e+00,4.960985895726992112e+02
1.662835174068034938e+00,4.962328280824191893e+02
1.665903135643806321e+00,4.963670665921391674e+02
1.668971097219577704e+00,4.965013051018591455e+02
1.672039058795348865e+00,4.956440724396999826e+02
1.675107020371120248e+00,4.958047607654652325e+02
1.678174981946891409e+00,4.959654490912304823e+02
1.681242943522662792e+00,4.955897216907892471e+02
1.684310905098433953e+00,4.943764127413144820e+02
1.687378866674205335e+00,4.922745132864519064e+02
1.690446828249976496e+00,4.910872195349153913e+02
1.693514789825747879e+00,4.872169570067208610e+02
1.696582751401519040e+00,4.851604821643449554e+02
1.699650712977290423e+00,4.813331789791941446e+02
1.702718674553061806e+00,4.775284769389561461e+02
1.705786636128832967e+00,4.737461077151249924e+02
1.708854597704604350e+00,4.699857986507116152e+02
1.711922559280375511e+00,4.644782963414274946e+02
1.714990520856146894e+00,4.599177048809611961e+02
1.718058482431918055e+00,4.572156655708650419e+02
1.721126444007689438e+00,4.534030641267672763e+02
1.724194405583460599e+00,4.480007924288836421e+02
1.727262367159231982e+00,4.433862612635856522e+02
1.730330328735003143e+00,4.390256332601020404e+02
1.733398290310774525e+00,4.354446932434381097e+02
1.736466251886545908e+00,4.336234369328017806e+02
1.739534213462317069e+00,4.326819194339739738e+02
